Dataset,Size,,Sequitur,,,,Repair,,,
,,,rules,time,coverage,max.freq.,rules,time,coverage,max.freq.
Daily commute,17175,"150, 6, 4",292,8,12.8,45,362,4,18.3,53
Dutch power demand ,35040,"150, 6, 4",916,38,26.6,124,769,14,29.6,162
ECG 0606,2300,"150, 6, 4",67,4,18.4,11,74,1,37.4,14
ECG 108,21600,"150, 6, 4",539,11,18.3,44,472,9,20.8,45
ECG 15,15000,"150, 6, 4",279,9,19.2,58,239,5,25.7,71
ECG 300,536976,"150, 6, 4",10178,4458,34.2,980,7649,2048,35.7,1673
ECG 308,5400,"150, 6, 4",131,4,13.2,14,143,1,22.1,15
ECG 318,586086,"150, 6, 4",7113,2234,27.8,1422,5112,1435,29.1,2942
Insect,18667,"150, 6, 4",632,19,17.1,25,584,10,18.3,32
"Respiration, NPRS 43 ",4000,"150, 6, 4",881,33,26.5,29,813,12,27.5,45
"Respiration, NPRS 44 ",24125,"150, 6, 4",1189,66,28.1,40,1057,17,28.9,61
TEK14,5000,"150, 6, 4",205,5,27.4,78,237,3,32.6,130
TEK16,5000,"150, 6, 4",181,4,25.8,100,210,2,31.9,157
TEK17,5000,"150, 6, 4",190,7,26.5,190,208,2,32,208
Video dataset ,11251,"150, 6, 4",285,11,16.9,29,301,7,21.8,30
Winding,2500,"150, 6, 4",70,3,10.6,5,225,1,33.5,5